ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
2020;REGIÃO NORDESTE;AL;ETANOL;2707305;PORTO CALVO;435277
2020;REGIÃO NORDESTE;AL;ETANOL;2707404;PORTO DE PEDRAS;100000
2020;REGIÃO NORDESTE;AL;ETANOL;2707503;PORTO REAL DO COLEGIO;177500
2020;REGIÃO NORDESTE;AL;ETANOL;2707602;QUEBRANGULO;28000
2020;REGIÃO NORDESTE;AL;ETANOL;2707701;RIO LARGO;2490660
2020;REGIÃO NORDESTE;AL;ETANOL;2707800;ROTEIRO;5000
2020;REGIÃO NORDESTE;AL;ETANOL;2708006;SANTANA DO IPANEMA;698874
2020;REGIÃO NORDESTE;AL;ETANOL;2708105;SANTANA DO MUNDAU;40000
2020;REGIÃO NORDESTE;AL;ETANOL;2708303;SAO JOSE DA LAJE;134500
2020;REGIÃO NORDESTE;AL;ETANOL;2708402;SAO JOSE DA TAPERA;205000
2020;REGIÃO NORDESTE;AL;ETANOL;2708501;SAO LUIS DO QUITUNDE;606500
2020;REGIÃO NORDESTE;AL;ETANOL;2708600;SAO MIGUEL DOS CAMPOS;1754629
2020;REGIÃO NORDESTE;AL;ETANOL;2708709;SAO MIGUEL DOS MILAGRES;208500
2020;REGIÃO NORDESTE;AL;ETANOL;2708808;SAO SEBASTIAO;579347
2020;REGIÃO NORDESTE;AL;ETANOL;2708907;SATUBA;946011
2020;REGIÃO NORDESTE;AL;ETANOL;2709103;TAQUARANA;256916
2020;REGIÃO NORDESTE;AL;ETANOL;2709152;TEOTONIO VILELA;247500
2020;REGIÃO NORDESTE;AL;ETANOL;2709202;TRAIPU;15000
2020;REGIÃO NORDESTE;AL;ETANOL;2709301;UNIAO DOS PALMARES;1004000
2020;REGIÃO NORDESTE;AL;ETANOL;2709400;VICOSA;198835
2020;REGIÃO NORTE;AM;ETANOL;1300102;ANORI;15000
2020;REGIÃO NORTE;AM;ETANOL;1300144;APUI;56847
2020;REGIÃO NORTE;AM;ETANOL;1300706;BOCA DO ACRE;75000
2020;REGIÃO NORTE;AM;ETANOL;1301100;CAREIRO;124000
2020;REGIÃO NORTE;AM;ETANOL;1301159;CAREIRO DA VARZEA;55000
2020;REGIÃO NORTE;AM;ETANOL;1301704;HUMAITA;167492
2020;REGIÃO NORTE;AM;ETANOL;1301852;IRANDUBA;2095000
2020;REGIÃO NORTE;AM;ETANOL;1301902;ITACOATIARA;205000
2020;REGIÃO NORTE;AM;ETANOL;1302405;LABREA;49000
2020;REGIÃO NORTE;AM;ETANOL;1302504;MANACAPURU;683000
2020;REGIÃO NORTE;AM;ETANOL;1302603;MANAUS;109013288
2020;REGIÃO NORTE;AM;ETANOL;1303205;NOVO AIRAO;58000
2020;REGIÃO NORTE;AM;ETANOL;1303569;RIO PRETO DA EVA;165000
2020;REGIÃO NORTE;AM;ETANOL;1303809;SAO GABRIEL DA CACHOEIRA;134101
2020;REGIÃO NORTE;AP;ETANOL;1600279;LARANJAL DO JARI;5000
2020;REGIÃO NORTE;AP;ETANOL;1600303;MACAPA;330138
2020;REGIÃO NORTE;AP;ETANOL;1600600;SANTANA;47537
2020;REGIÃO NORDESTE;BA;ETANOL;2900108;ABAIRA;71000
2020;REGIÃO NORDESTE;BA;ETANOL;2900207;ABARE;251000
2020;REGIÃO NORDESTE;BA;ETANOL;2900306;ACAJUTIBA;270000
2020;REGIÃO NORDESTE;BA;ETANOL;2900355;ADUSTINA;146000
2020;REGIÃO NORDESTE;BA;ETANOL;2900405;AGUA FRIA;86000
2020;REGIÃO NORDESTE;BA;ETANOL;2900702;ALAGOINHAS;9049840
2020;REGIÃO NORDESTE;BA;ETANOL;2900801;ALCOBACA;700000
2020;REGIÃO NORDESTE;BA;ETANOL;2900900;ALMADINA;45000
2020;REGIÃO NORDESTE;BA;ETANOL;2901007;AMARGOSA;814500
2020;REGIÃO NORDESTE;BA;ETANOL;2901106;AMELIA RODRIGUES;3170000
2020;REGIÃO NORDESTE;BA;ETANOL;2901155;AMERICA DOURADA;99000
2020;REGIÃO NORDESTE;BA;ETANOL;2901205;ANAGE;1031000
2020;REGIÃO NORDESTE;BA;ETANOL;2901304;ANDARAI;175500
